name,true_sentiment,text,normalized_text
Деревяшка,Negative,"Почему-то популярно среди жителей города. Обслуживание нулевое, каждый сезон набираются неопытные молодые люди. Всегда липкие деревянные столы и нечистый пол. Блюда из переза мороженных  или низкосортных продуктов. Если кто-либо из посетителей решается на замечание, то  в основном от работников следует реакция безразличия, иной раз и откровенной грубости.  Кафе продувается всеми ветрами, поэтому неуютное, звук телевизора настолько громок, что отсутствует возможность общения.  Отдельное смешное помещение туалета напоминает карточный домик. Уровень точки соцпитания не заслуживает даже одного балла.",популярно среди житель город обслуживание нулевой каждый сезон набираться неопытный молодой человек липкий деревянный стол нечистый пол блюдо перез мороженный низкосортный продукт посетитель решаться замечание основной работник следовать реакция безразличие иной откровенный грубость кафе продуваться весь ветер поэтому неуютный звук телевизор настолько громкий отсутствовать возможность общение отдельный смешной помещение туалет напоминать карточный домик уровень точка соцпитание заслуживать балл
Nicepricecafe,Negative,"Если готовы ожидать около часа свой заказ , то можете смело приходить в это заведение. Заказ свой ожидали 55 минут . И то , если бы не подошла к администратору , то наверное так и не дождалась бы своего заказа . Такие же проблемы были и у людей за соседними столиками.  Еда посредственная ( никому не советую заказывать роллы , исполнение ужасное как и сам вкус). Если нравится сидеть в тесноте с незнакомыми людьми , то вам однозначно сюда .  Если вам попадётся тарелка без скола, то вам несказанно повезло .  Официанты без печаток подают блюдо , и на тарелке остаются отпечатки пальцев ( согласитесь мало приятного видеть как официант сначала берет грязную посуду со столов , потом протирает стол , а потом этими же руками отдаёт вам блюдо).  Единственный плюс это демократичные цены , но даже этот плюс не перекрывает все остальные минусы .  В общем категорически не советую посещать данное заведение!",готовый ожидать около час свой заказ мочь смело приходить заведение заказ свой ожидать минута подходить администратор наверное дождаться свой заказ проблема человек соседний столик еда посредственный никто советовать заказывать ролл исполнение ужасный вкус нравиться сидеть теснота незнакомый человек однозначно сюда попадаться тарелка скол несказанный везти официант печатка подавать блюдо тарелка оставаться отпечаток палец соглашаться мало приятный видеть официант сначала брать грязный посуда стол протирать стол рука отдавать блюдо единственный плюс демократичный цена плюс перекрывать весь остальной минус общий категорически советовать посещать данный заведение
Воронцовский дворик,Negative,"Кафе вроде есть, но закрыто. Надеялись покушать заехать. Но причину, так и не узнали. Хотя бы на двери написали, что то. Расписание есть, а дверь закрыта. Непорядок.",кафе вроде закрывать надеяться покушать заезжать причина узнавать хотя дверь написать расписание дверь закрывать непорядок
Клим,Positive,"Очень вкусно, красиво. Детям понравилось",очень вкусно красивый ребенок понравиться
Чебуречная,Negative,"Начитавшись отличных отзывов, планировали, путешествуя по Старице, обязательно зайти в это место. И каково же было удивление, что Чебуречная в выходные (субботу и воскресенье) не работает... прямо разочарование, причём никто про это не писал в отзывах. Очень странно, что в самые, казалось бы, прибыльные дни заведение закрыто...",начитываться отличный отзыв планировать путешествовать старица обязательно зайти место каков удивление чебуречная выходной суббота воскресение работать прямо разочарование причем никто писать отзыв очень странно самый казаться прибыльный день заведение закрывать
ШашлыкоF,Negative,"Не рекомендую, т.к. очень-очень долго ждали заказ, даже есть перехотелось, посуда битая со сколами и трещинами, тарелки мокрые, еда подаётся чуть ли не граммами, заказали на 3 тысячи , а ушли голодные и недовольные... Испортили настроение только! Обслуживающий персонал - школьники!      ",рекомендовать очень очень долго ждать заказ перехотеться посуда бить скол трещина тарелка мокрый еда подаваться грамм заказывать тысяча уходить голодный недовольный испортить настроение обслуживающий персонал школьник
Булочки Канта,Positive,"Завтракал тут несколько дней подряд. Каша дня всегда была - овсяная. Очень вкусная, также вкусные омлет/яичница ну и сами булочки канта. Отдельное спасибо за вежливое и добродушное обслуживание.  Внутри кафе немного душно, но есть много мест на улице",завтракать несколько день подряд каша день овсяный очень вкусный также вкусный омлет яичница булочка кант отдельный спасибо вежливый добродушный обслуживание внутри кафе немного душно место улица
Хинкали-Gали!,Positive,"Все очень вкусно, быстро подали, хорошее обслуживание. Остались довольны.",очень вкусно быстро подавать хороший обслуживание оставаться довольный
Гриль Шеф,Negative,"Не советую это заведение. Овощи не мыты и не свежие, была плесень и гниль на помидоре. Живот не скажет спасибо после посещения этого заведения",советовать заведение овощ мыть свежий плесень гниль помидор живот сказать спасибо посещение заведение
Nalu Baloo,Positive,"Периодически хожу в это кафе на обед. Чистенько, уютно, вежливый персонал. Вкусная еда в паназиатском стиле. Люблю Том ям, поке, безумно вкусные ягодные чаи. Замечаний нет. Рекомендую!!!",периодически ходить кафе обед чистенько уютно вежливый персонал вкусный еда паназиатский стиль любить яма пока безумно вкусный ягодный чай замечание рекомендовать
Бишкек Сити,Negative,Заказал Эда официантка принёс чай и лепёшка чайник без крышки оффигеть на санитарность,заказывать эда официантка приносить чай лепешка чайник крышка оффигеть санитарность
Хинкали-Gали!,Positive,"Место просто волшебное!   Удобное местоположение, вежливый персонал, а главное - недорогие и безумно вкусные хинкали! Если вы будете проходить мимо этого чудного заведения, то обязательно зайдите 😍",место просто волшебный удобный местоположение вежливый персонал главное недорогой безумно вкусный хинкали проходить мимо чудный заведение обязательно зайти
Nicepricecafe,Negative,"Пришли по наводкам знакомых, все говорят одно: «вкусно и дёшево». Вкусы у всех разные, поэтому наша компания осталась недовольна. Само заведение выглядит приятно, но если вы любитель уединиться - то не заходите сюда)  Пройдемся по пунктам - а) дёшево. Это правда✅ все позиции стоят 200-250 рублей, зависит от времени. Есть исключения для больших блюд, таких как сэты и т.д. б) вкусно. К сожалению этот пункт можно вычеркивать. Чтобы описать качество и вкус продуктов достаточно закупиться продуктовой линейкой «Каждый День». Мы брали роллы, том ям, оливье, салаты и напитки. Вы спокойно можете сделать все эти блюда сами, потратив 250 рублей (или даже меньше), как говорилось ранее закупиться надо самыми дешевыми продуктами и тогда вы смело можете говорить, что были в данном заведении. Про напитки вообще отдельная история, алкогольная пина колада удивила нас своим необычным вкусом медицинского спирта, было максимально неприятно от одного лишь глотка. Смузи со смородиной и бананом лучшее после пина колады, вкус банана и смородины есть хоть и разбавлен водой, но это намного приятнее химозных напитков. Том ям был очень острым, хоть мы и часто его берем и знаем истинный вкус.  в) ОооЖжжиДаааНиЕее Знаете сколько мы ждали оливье? Да, ровно 50 минут. Вылавливали официантов каждые 10 минут и просили принести это чудо-блюдо, они отвечали хорошо и тут же исчезали. К другим позициям претензий - нет, мы ждали всего по 20-30 минут) Пара за соседним столиком позвала менеджера, потому что им показалось, что их блюда испорчены. Сказать больше нечего, спасибо за внимание! ",приходить наводка знакомый говорить вкусно дешево вкус разный поэтому наш компания оставаться недовольный заведение выглядеть приятно любитель уединяться заходить сюда проходиться пункт дешево правда весь позиция стоять рубль зависеть время исключение большой блюдо сэт вкусно сожаление пункт вычеркивать описывать качество вкус продукт достаточно закупиться продуктовый линейка каждый день брать ролл яма оливье салат напиток спокойно мочь сделать весь блюдо потратить рубль мало говориться ранее закупиться самый дешевый продукт смело мочь говорить данный заведение напиток вообще отдельный история алкогольный пина колад удивлять свой необычный вкус медицинский спирт максимально неприятно лишь глоток смузи смородина банан хороший пина колада вкус банан смородина разбавлять вода намного приятно химозный напиток яма очень острый часто брать знать истинный вкус ооожжжидаааниеее знать сколько ждать оливье ровно минута вылавливать официант каждый минута просить приносить чудо блюдо отвечать исчезать позиция претензия ждать минута пара соседний столик позвать менеджер показываться блюдо испортить сказать нечего спасибо внимание
Coffee Cake,Positive,"Прекрасное меню. Уютная атмосфера. Вежливый доброжелательный персонал. Все очень вкусно, быстро.  Яйцо пашот и бенедикт прекрасны.  Пришли по рекомендациям!  Теперь любимое место.",прекрасный меню уютный атмосфера вежливый доброжелательный персонал весь очень вкусно быстро яйцо пашот бенедикт прекрасный приходить рекомендация любимый место
Маркус,Negative,"Выглядит так, что на полпути хочется развернуться. Облезлый кот трётся, надеюсь, в отсутствии посетителей не спит на столах. Была очень голодной, взяла датский хот-дог (110₽). Выглядит очень хорошо, по факту ужасно невкусно - отвратительный соус, отвратительная сосиска. После третьего укуса отправляется в помойку. ",выглядеть полпути хотеться развертываться облезлый кот тереться надеяться отсутствие посетитель спать стол очень голодный взять датский выглядеть очень факт ужасно невкусно отвратительный соус отвратительный сосиска третий укус отправляться помойка
Шашлычная Марусино,Negative,"Заказали бизнес-ланч, 50 минут ждали, сказали ещё 5 минут. Попросили деньги назад, вернули. Нужно предупреждать заранее что так долго ждать. Наглецы!!! ",заказывать бизнес ланч минута ждать сказать минута попросить деньги назад вернуть нужно предупреждать заранее долго ждать наглеца
Сим-Сим,Positive,"Обожаю подобные места, с виду очень невзрачное, неприметное и ""не туристическое"", но если если вы любите мясо, особенно блюда из баранины - тут ее умеют готовить! И используют правильное сырье. Поварам и хозяину - мое почтение...",обожать подобный место вид очень невзрачный неприметный туристический любить мясо особенно блюдо баранина уметь готовить использовать правильный сырье повар хозяин почтение
Закусочная,Positive,"Отличная закусочная. Часто забегаю туда пообедать, если нету время заехать домой. Готовят на отлично и выходит не дорого.  ",отличный закусочная часто забегать туда пообедать нету время заезжать домой готовить отлично выходить дорого
Venice,Negative,"Место конечно приятное своей атмосферой, но не качеством блюд. Пришли в обед и заказали лосось в сливочном соусе. Соуса налили целую тарелку и была игра угадай где рыба) (кстати сухая) соус был приятным. Решили в этот же вечер сходить на ужин и попробовать «поке», так как это любимое блюдо. Рис был ледяным, огурцы и редис были нарезаны как отдельное блюдо размером с мою голову😂 соуса было недостаточно, так как тарелка была огромная и его тупо не хватило и поэтому все было сухое.  Заказали десерт с грушей. В меню была красная груша а на деле принесли синюю с чистым красителем. Мы все измазались, рот был синим,зубы тоже. Облепиховый чай пить было невозможно. Облепихи там и в помине нет, пару ягодок есть и все. Все остальное это листья чая пол чайника. Пока мы ждали чтобы он остыл, чай еще больше заварился и был настолько горький что пришлось выплюнуть все в тарелку (извините).  Вообщем больше не придем.",место приятный свой атмосфера качество блюдо приходить обед заказывать лосось сливочный соус соус наливать целый тарелка игра угадывать рыба кстати сухой соус приятный решать вечер сходить ужин попробовать пока любимый блюдо рис ледяной огурец редис нарезать отдельный блюдо размер голова соус недостаточно тарелка огромный тупо хватить поэтому сухой заказывать десерт груша меню красный груша дело приносить синий чистый краситель измазываться рот синий зуб облепиховый чай пить невозможно облепиха помин пара ягодка остальное лист чай пол чайник пока ждать остыть чай завариваться настолько горький приходиться выплюнуть весь тарелка извинять вообщий прийти
Сакура,Negative,"Спасибо за испорченый вечер. Приехала в данное заведение с виду приличное всё красиво.  Но из-за того что проходило мероприятие, а именно день рождения(ребёнка) было ужасно шумно, ведущая очень громко ввела мероприятие. Вообще можно было сделать звук на микрофоне тише, а то после выхода голова болела ужасно Про еду средняя цены выше среднее за такую стоимость в других заведениях еда более лучшее качества. Но для кафе в посёлке сойдёт.  Ожидание блюда было 30-40 минут хоть были заказы мидии, роллы, и мясное блюдо (не шашлык)  Вообщем из-за неорганизованности кафе мы вышли с ужасным впечатление",спасибо испорченый вечер приезжать данный заведение вид приличный красивый проходить мероприятие именно день рождение ребенок ужасно шумно вести очень громко вводить мероприятие вообще сделать звук микрофон тихо выход голова болеть ужасно ехать средний цена высоко средний стоимость заведение еда хороший качество кафе поселок сходить ожидание блюдо минута заказ мидия ролл мясной блюдо шашлык вообщий неорганизованность кафе выходить ужасный впечатление
Макс,Positive,"Отличное место хорошие душевые .туалеты в холле бесплатные ! Не надо мелочь искать очень вкусный люля , большой выбор меню стоянка не маленькая . Ну и горы))",отличный место хороший душевой туалет холл бесплатный мелочь искать очень вкусный люля большой выбор меню стоянка маленький гора
Армянская шашлычная,Negative,"Когда только открылись делали хорошо, вкусно. Обслуживали вежливо. Сейчас испортилось буквально все и еда и отношение",открываться делать вкусно обслуживать вежливо испортиться буквально еда отношение
Кавказский дворик,Positive,"Заехали на ланч и были в шоке! На сколько тут вкусно, приятный персонал, тихо, быстро. Мы в восторге! Девочкам спасибо большое , обязательно вернемся еще",заезжать ланч шок сколько вкусно приятный персонал тихо быстро восторг девочка спасибо большой обязательно вернуться
Имерети,Negative,"Полное разочарование, буквально пол года назад было вкусно, но сейчас грузинской кухней не напоминает! Персонал не адекватный, позвонила повар и кричала проклятия в наш адрес🤷🏻‍♀️ Мы просто сказали, что раньше было вкуснее! Хачапури в котором сыр не сыр, слоенное тесто как тонкая лепешка🤦🏻‍♀️ 700 рублей данный пирог не стоит 💯 ",полный разочарование буквально пол год назад вкусно грузинский кухня напоминать персонал адекватный позвонить повар кричать проклятие наш адрес просто сказать рано вкусный хачапури который сыр сыр слоить тесто тонкий лепешка рубль данный пирог стоять
Комарик,Positive,"Одно из самых популярных мест в Черноголовке. Ценник средний, а вот подача, вкус блюд и обслуживание на высоте. Обязательно попробуйте суп пирата это очень вкусно ",самый популярный место черноголовка ценник средний подача вкус блюдо обслуживание высота обязательно попробовать суп пират очень вкусно
Блин'ок,Positive,"Если решите вкусно поесть, вам сюда! Жаль что в последний день нашли это кафе. Единственное место где готовят вкусную окрошку , шашлык без хрящей, овощи гриль просто язык проглотить можно! Не ожидала! С виду такое не приметное место. Готовят вкуснее чем в более дорогих заведених Партенита. Доставили до отеля еду в течение часа, все было горячее и хорошо упаковано. Спасибо владельцам и поворам! Если будете в Партените, не совершайте ошибку как мы и не идите в кафе у автостации, сразу в Блинок! Мы обошли практически все кафе поселка , нашли всего лишь два с нормальной едой, Подсолнухи и Блинок. ",решать вкусно поесть сюда жаль последний день находить кафе единственный место готовить вкусный окрошка шашлык хрящ овощ гриль просто язык проглатывать ожидать вид приметный место готовить вкусный дорогой заведений партенит доставлять отель ехать течение час весь горячий упаковывать спасибо владелец поворы партенит совершать ошибка идти кафе автостация сразу блинок обходить практически весь кафе поселок находить лишь нормальный еда подсолнух блинок
Гурманика,Negative,Когда открылись было нормальное обслуживание.  Сейчас постоянно что-то забывают принести.  ,открываться нормальный обслуживание постоянно забывать приносить
Хай Юин,Positive,"Вкусно, достаточно быстро, большие порции, большой выбор блюд",вкусно достаточно быстро большой порция большой выбор блюдо
Блиндаж,Negative,"Хотели с семьей зайти в туалет, т.к ближайший не работал, нам было отказано. Не стал объяснять данной напитки-продавалке что данный отказ является грубым нарушением. Единственное место которое не понравилось в данном городе.",хотеть семья зайти туалет близкий работать отказывать становиться объяснять данный напиток продавалка данный отказ являться грубый нарушение единственный место который понравиться данный город
Черные камни,Positive,"Очень понравилось!!!! Моментально попадаешь в эпоху 70-х гг.!! Это очень подкупает!! Кстати,рыбалка входит в стоимость большой беседки👍👍👍👍👍 Запланировали сделать Тимбилдинг большой компанией именно там!",очень понравиться моментально попадать эпоха очень подкупать кстати рыбалка входить стоимость большой беседка запланировать сделать тимбилдинг большой компания именно
Ёж&Устрица,Positive,"Самое главное, что тут всегда только свежие морепродукты! От чего и веус и качество восприятия совсем другое! На мой взгляд это лучшее место с морепродуктами на сегодняшний день!",самый главное свежий морепродукт веус качество восприятие взгляд хороший место морепродукт сегодняшний день
Мано а Мано,Positive,"Каждую неделю посещаем семьей это замечательное кафе. Все очень вкусно. На ДР делают скидку , мелочь , а приятно. Всегда доброжелательно и позитивно настроенный персонал. Спасибо большое за ваш труд. ",каждый неделя посещать семья замечательный кафе очень вкусно делать скидка мелочь приятно доброжелательно позитивно настроенный персонал спасибо большой ваш труд
Изборский Страус,Positive,"Нам с семьей очень там понравилось, шикарная кухня развлечение для детей плюс можно поиграть в футбол, волейбол, есть батут. Единственное навигатор может повести другой дорогой с другой стороны фермы.",семья очень понравиться шикарный кухня развлечение ребенок плюс поиграть футбол волейбол батут единственный навигатор мочь повесть дорога сторона ферма
McDuck,Negative,"Ужасное заведение, официантка невежлива, спрашиваешь по меню что то, говорит все на стенде. Ну а самое главное ужасно не вкусная еда, приехали покушать семьёй, заказали на приличную сумму, принесли подгоревшие стрипсы, тонкие, ужасные просто🤮мужу принесли бургер, булка подгоревшая, сам бургер холодный, пита была вкусная, начинки много, опять же холодная. Очень хотела покушать том ям, принесли, во первых ожидание было долгое очень всего заказа, во вторых рис оказался сырой(слеплен комками, внутри сырой), подошла вернуть, молча унесла, сижу жду что принесет новый или предложит вернуть деньги.  Очень долго ждали, подошла начала спрашивать, эта наглая персона, мне ответила что с том ямом было все в порядке, а рис надо было выловить и она бы принесла другой🤣как из супа выловить рис сырой? Еще хочу отметить что на весь том ям была одна 🍤 ужасное заведение,не рекомендую никому.",ужасный заведение официантка невежливый спрашивать меню говорить стенд самый главное ужасно вкусный еда приезжать покушать семья заказывать приличный сумма приносить подгорать стрипс тонкий ужасный просто муж приносить бургер булка подгорать бургер холодный пит вкусный начинка холодный очень хотеть покушать яма приносить первый ожидание долгий очень весь заказ второй рис оказываться сырой слеплять комок внутри сырой подходить вернуть молча уносить сидеть ждать приносить новый предлагать вернуть деньги очень долго ждать подходить начинать спрашивать наглый персона отвечать порядок рис вылавливать приносить суп вылавливать рис сырой хотеть отмечать весь яма ужасный заведение рекомендовать никто
Горный воздух,Negative,"Качество обслуживания ниже нуля. Официанта ждать приходится около получаса. Еду час. Счёт больше часа. Зачем там нужны официанты, если самому быстрее заказать! Может если меньше людей будет пользоваться услугами, хозяин как нибудь улучшить сервис?!",качество обслуживание ниже ноль официант ждать приходиться около получас ехать час счет час нужный официант быстро заказывать мочь мало человек пользоваться услуга хозяин улучшать сервис
Хуторок,Negative,"Добрый вечер. Часто посещаем Хуторок. В перый раз сегодня заехали на ул. Дружбы. Заказали салат Цезарь - о ужас!!! Листья обмазаные майонезом с гренками. На салат  Цезарь не похоже..  Заказали борщ. Принесли что-то очень соленое, перченое и на вкус вчерашнее (судя по виду разогревали несколько раз ). Не советую Хуторок на ул.Дружбы.",добрый вечер часто посещать хуторок перый сегодня заезжать дружба заказывать салат цезарь ужас лист обмазаный майонез гренка салат цезарь похоже заказывать борщ приносить очень соленый перченый вкус вчерашний судя вид разогревать несколько советовать хуторок дружба
Сказка,Negative,"Я не знаю, что за люди, которые оставляют положительные отзывы…Воняет от этого места даже за пределами его забора перегаром, смешанным с запахом еды (невкусной), зашла туда минут на 30 покушать, но уже пропиталась вся этой вонью.  По списку:  1) ужасный запах 2) оформление внутри, как будто на рынке «столовка» 3) контингент, который любит хорошенько подбухнуть, иначе не могу это назвать  4) официантка странноватая, как будто и сама была подшофе 5) по еде от данного места многого ждать не пришлось. Салат цезарь с креветкой выглядел, будто его собрали из объедков, куриный шашлык сухой, и порция шашлыка была явно меньше заявленной 6) блюда с мангала жарят рядом с уличным туалетом, от которого также воняет ",знать человек который оставлять положительный отзыв вонять место предел забор перегар смешанный запах еда невкусный зайти туда минута покушать пропитаться весь вонь список ужасный запах оформление внутри рынок столовка контингент который любить хорошенько подбухнуть иначе мочь называть официантка странноватый подшофе еда данный место многое ждать приходиться салат цезарь креветка выглядеть собирать объедки куриный шашлык сухой порция шашлык явно мало заявлять блюдо мангал жарить рядом уличный туалет который также вонять
Ёлки,Negative,"Не вкусно, не приветливый персонал, полная антисанитария. Берите лучше еду с собой!",вкусно приветливый персонал полный антисанитария брать ехать
МацонИ,Negative,"'Шаурма-бомба' 250р. Самая сухая, самая маленькая за эти деньги. Один лаваш в составе. Не покупайте никогда.",шаурма бомба самый сухой самый маленький деньги лаваш состав покупать
Пахлава,Negative,"Хотели забронировать столик позвонив по телефону.Нам ответили ,что сегодня столики не бронируют до 16-00.После 16-00 звоните.Сказали если приедем без брони.Ответ. Мест нет.Очень хотелось поесть давно полюбившееся блюдо в ресторане ,который по душе.И приехали на удачу.Столики пустые .ответ мест нет.Все в брони ,которую на минуточку по телефону не принимали.ОТказано.заказали блюда на вынос с собой. И пока ожидали заказ за дверями .столики так и были пусты. Вывод для себя в Ресторан ПАХЛАВА для меня больше не существуют уровень низковат. ",хотеть забронировать столик позвонить телефон отвечать сегодня столик бронировать звонить сказать приезжать броня ответ место очень хотеться поесть давно полюбиться блюдо ресторан который душа приезжать удача столик пустой ответ место броня который минуточка телефон принимать отказывать заказывать блюдо вынос пока ожидать заказ дверь столик пустой вывод ресторан пахлава существовать уровень низковатый
Queen,Negative,"Когда это место только открылось, все было хорошо, но в последнее время не очень. Зимой был такой случай, что я и еще один человек ждали своего друга внизу у лестницы, чтобы вместе посидеть в этом заведении. Спускается к нам официантка с телефоном в руке (с кем-то разговаривая) и спрашивает, что мы здесь делаем и есть ли нам 18 лет? Мы отвечаем, что ждем своего друга и что нам 22 года. Мне стало интересно и я спросила у нее ""А при чем здесь есть ли нам 18 лет? К чему этот вопрос?"". Она ничего не ответила и ушла. Я подумала, может комендантский час, посмотрела на время, а время 19 часов. И алкоголя, никаких напитков у нас не было. Странная... Недавно пришла сюда на бизнес ланч, часто хожу пообедать. Сделала заказ, зашла в отдельную зону в кафе, а не в основную. В итоге официантка подходит ко мне и с наездом говорит: ""А почему вы мне не сказали, что вы сели сюда? Я вас везде ищу и думаю, куда она делась"". Я ей отвечаю спокойно, что я зашла сюда при вас, вы должны были увидеть. Я просто не понимаю, это что я должна волноваться и предупреждать, за каким столом я сяду, у вас что 3 этажный ресторан? 🤡  У меня еще ни разу не было такого, чтобы официантка такое требовала. Больше не хочу ходить в это заведение.",место открываться весь последний время очень зима случай человек ждать свой друг внизу лестница вместе посидеть заведение спускаться официантка телефон рука разговаривать спрашивать делать год отвечать ждать свой друг год становиться интересный спрашивать год вопрос ничто отвечать уходить подумать мочь комендантский час посмотреть время время час алкоголь никакой напиток странный недавно приходить сюда бизнес ланч часто ходить пообедать сделать заказ зайти отдельный зона кафе основной итог официантка подходить наезд говорить почему сказать садиться сюда везде искать думать деваться отвечать спокойно зайти сюда должный увидеть просто понимать должный волноваться предупреждать стол садиться этажный ресторан официантка требовать хотеть ходить заведение
Кинза,Positive,Завтраки здесь просто шикарные! Спасибо официанту Анастасии за безупречное обслуживание!,завтрак просто шикарный спасибо официант анастасия безупречный обслуживание
Шау-вау!,Negative,"Самая ужаснейшая шаурма которую я пробывал за последний год, касирша  стоит с кислой миной...Шаурмист который видимо глух и нем не сделал острую шаурму как его просили!моя оценка 0.Примичание: Мясо ужасного качества.",самый ужасный шаурма который пробывать последний год касирша стоять кислый мина шаурмист который видимо глухой немой сделать острый шаурма просить оценка примичание мясо ужасный качество
Muk,Negative,Постоянные перерывы. Невозможно ничего купить. Делают очень долго. Бариста хамила и ничего не хотела рассказывать о напитках.,постоянный перерыв невозможно ничто купить делать очень долго барист хамить ничто хотеть рассказывать напиток
Best mangal,Positive,"Доставка быстро, шашлык соответствует своей цене (вкусно) только проблема найти номер чтобы заказать по телефону, а так всë вкусно и быстро, заказали 6 видов шашлыка на 1800 рублей",доставка быстро шашлык соответствовать свой цена вкусно проблема находить номер заказывать телефон вкусно быстро заказывать вид шашлык рубль
Кафе 777,Positive,"Попал сюда в будний день на бизнес ланч. Очень достойно! Вкусно и недорого, пообедал  отлично и раза в 2 дешевле, чем в Москве.  Кафе чистое, внутри уютно, еда вкусная. В следующий приезд обязательно зайду снова. ",попадать сюда будний день бизнес ланч очень достойно вкусно недорого пообедать отлично дешевый москва кафе чистый внутри уютно еда вкусный следующий приезд обязательно зайти снова
Донер-клаб,Negative,"Может когда-то тут и было вкусно (судя по отзывам), но сейчас это просто кошмар. На кухне полная антисанитария, после оформления заказа заметил, что ве́ртел выключен, а мясо достают из-под прилавка. Само по себе оно отвратительного качества. Выкинул в мусорку, решил поберечь здоровье",вкусно судя отзыв просто кошмар кухня полный антисанитария оформление заказ замечать вертеть выключать мясо доставать прилавок оно отвратительный качество выкидывать мусорка решать поберечь здоровье
Китайка27.рф,Positive,"Всё очень вкусно, особенно говядина в соевом соусе и мясо по сичуански. Повар настоящий китаец. Привезли всё вовремя👍👍👍",очень вкусно особенно говядина соевый соус мясо сичуански повар настоящий китаец привозить весь вовремя
